,Ahmedabad,Bangalore,Chennai,Hyderabad,Kolkata,Mumbai,Pune,Delhi
Ahmedabad,1.0,0.6868948805434483,0.10867569467663438,0.7670875783936751,0.5627844093348335,0.8751954462828104,0.7889321933807841,0.7314621162300367
Bangalore,0.6868948805434483,1.0,0.16186866448583048,0.5368291924977197,0.33195391067057234,0.6393135534778851,0.6377087597947293,0.4271945512504963
Chennai,0.10867569467663438,0.16186866448583048,1.0,0.3058308294375158,0.3907061415727751,0.21381978681004216,-0.09620003535349265,0.14565356515457117
Hyderabad,0.7670875783936751,0.5368291924977197,0.3058308294375158,1.0,0.4649914532495512,0.6271491345360745,0.6622989281467238,0.6336355766261536
Kolkata,0.5627844093348335,0.33195391067057234,0.3907061415727751,0.4649914532495512,1.0,0.5401306784318803,0.37298590709250556,0.5942689239010062
Mumbai,0.8751954462828104,0.6393135534778851,0.21381978681004216,0.6271491345360745,0.5401306784318803,1.0,0.6763154683414201,0.6814178312249879
Pune,0.7889321933807841,0.6377087597947293,-0.09620003535349265,0.6622989281467238,0.37298590709250556,0.6763154683414201,1.0,0.6441536381025796
Delhi,0.7314621162300367,0.4271945512504963,0.14565356515457117,0.6336355766261536,0.5942689239010062,0.6814178312249879,0.6441536381025796,1.0
